anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1994,1,Oleg Salenko,6,3,2.0,Rusia
1994,1,Hristo Stoichkov,6,7,0.86,Bulgaria
1994,3,Kennet Andersson,5,7,0.71,Suecia
1994,3,Roberto Baggio,5,7,0.71,Italia
1994,3,Juergen Klinsmann,5,5,1.0,Alemania
1994,3,Romario,5,7,0.71,Brasil
1994,7,Gabriel Batistuta,4,4,1.0,Argentina
1994,7,Martin Dahlin,4,5,0.8,Suecia
1994,7,Florin Raducioiu,4,4,1.0,Rumania
1994,10,Bebeto,3,7,0.43,Brasil
1994,10,Dennis Bergkamp,3,5,0.6,Paises Bajos
1994,10,Tomas Brolin,3,7,0.43,Suecia
1994,10,Jose Luis Caminero,3,4,0.75,Espana
1994,10,Gheorghe Hagi,3,5,0.6,Rumania
1994,15,Philippe Albert,2,3,0.67,Belgica
1994,15,Fuad Amin,2,3,0.67,Arabia Saudita
1994,15,Daniel Amokachi,2,4,0.5,Nigeria
1994,15,Emmanuel Amunike,2,4,0.5,Nigeria
1994,15,Dino Baggio,2,7,0.29,Italia
1994,15,Claudio Caniggia,2,3,0.67,Argentina
1994,15,Ilie Dumitrescu,2,5,0.4,Rumania
1994,15,Luis Garcia,2,4,0.5,Mexico
1994,15,Goikoetxea,2,5,0.4,Espana
1994,15,Myung Bo Hong,2,3,0.67,Corea del Sur
1994,15,Wim Jonk,2,5,0.4,Paises Bajos
1994,15,Adrian Knup,2,3,0.67,Suiza
1994,15,Iordan Letchkov,2,7,0.29,Bulgaria
1994,15,Adolfo Valencia,2,3,0.67,Colombia
1994,15,Rudi Voeller,2,3,0.67,Alemania
1994,30,Fahad Al Ghesheyan,1,2,0.5,Arabia Saudita
1994,30,Sami Al Jaber,1,2,0.5,Arabia Saudita
1994,30,Said Al Owayran,1,4,0.25,Arabia Saudita
1994,30,John Aldridge,1,3,0.33,Irlanda
1994,30,Abel Balbo,1,4,0.25,Argentina
1994,30,Txiki Beguiristain,1,1,1.0,Espana
1994,30,Marcelino Bernal,1,4,0.25,Mexico
1994,30,Daniel Borimirov,1,4,0.25,Bulgaria
1994,30,Branco,1,3,0.33,Brasil
1994,30,Georges Bregy,1,4,0.25,Suiza
1994,30,Mohammed Chaouch,1,2,0.5,Marruecos
1994,30,Stephane Chapuisat,1,4,0.25,Suiza
1994,30,Marc De Grijse,1,3,0.33,Belgica
1994,30,David Embe,1,3,0.33,Camerun
1994,30,Alberto Garcia Aspe,1,3,0.33,Mexico
1994,30,Herman Gaviria,1,2,0.5,Colombia
1994,30,Finidi George,1,4,0.25,Nigeria
1994,30,Georges Grun,1,3,0.33,Belgica
1994,30,Pep Guardiola,1,2,0.5,Espana
1994,30,Fernando Hierro,1,5,0.2,Espana
1994,30,Ray Houghton,1,4,0.25,Irlanda
1994,30,Sun Hong Hwang,1,3,0.33,Corea del Sur
1994,30,Julio Salinas,1,4,0.25,Espana
1994,30,Henrik Larsson,1,5,0.2,Suecia
1994,30,Roger Ljung,1,6,0.17,Suecia
1994,30,John Lozano,1,1,1.0,Colombia
1994,30,Luis Enrique,1,4,0.25,Espana
1994,30,Diego Maradona,1,2,0.5,Argentina
1994,30,Marcio Santos,1,7,0.14,Brasil
1994,30,Daniele Massaro,1,6,0.17,Italia
1994,30,Lothar Matthaeus,1,5,0.2,Alemania
1994,30,Hakan Mild,1,5,0.2,Suecia
1994,30,Roger Milla,1,2,0.5,Camerun
1994,30,Hassan Nader,1,1,1.0,Marruecos
1994,30,Francois Omam-Biyik,1,3,0.33,Camerun
1994,30,Dan Petrescu,1,5,0.2,Rumania
1994,30,Dmitri Radchenko,1,3,0.33,Rusia
1994,30,Rai,1,5,0.2,Brasil
1994,30,Kjetil Rekdal,1,3,0.33,Noruega
1994,30,Karlheinz Riedle,1,2,0.5,Alemania
1994,30,Bryan Roy,1,5,0.2,Paises Bajos
1994,30,Erwin Sanchez,1,3,0.33,Bolivia
1994,30,Jung Won Seo,1,3,0.33,Corea del Sur
1994,30,Samson Siasia,1,3,0.33,Nigeria
1994,30,Nasko Sirakov,1,7,0.14,Bulgaria
1994,30,Earnie Stewart,1,4,0.25,Estados Unidos
1994,30,Alain Sutter,1,3,0.33,Suiza
1994,30,Gaston Taument,1,3,0.33,Paises Bajos
1994,30,Aron Winter,1,3,0.33,Paises Bajos
1994,30,Eric Wynalda,1,4,0.25,Estados Unidos
1994,30,Rasheed Yekini,1,4,0.25,Nigeria
