anio,premio,categoria,ganador
2006,Equipo Ideal,Arquero,Gianluigi Buffon
2006,Equipo Ideal,Arquero,Jens Lehmann
2006,Equipo Ideal,Arquero,Ricardo
2006,Equipo Ideal,Defensores,Roberto Ayala
2006,Equipo Ideal,Defensores,Fabio Cannavaro
2006,Equipo Ideal,Defensores,Philipp Lahm
2006,Equipo Ideal,Defensores,Ricardo Carvalho
2006,Equipo Ideal,Defensores,John Terry
2006,Equipo Ideal,Defensores,Lilian Thuram
2006,Equipo Ideal,Defensores,Gianluca Zambrotta
2006,Equipo Ideal,Mediocampistas,Michael Ballack
2006,Equipo Ideal,Mediocampistas,Gennaro Gattuso
2006,Equipo Ideal,Mediocampistas,Maniche
2006,Equipo Ideal,Mediocampistas,Andrea Pirlo
2006,Equipo Ideal,Mediocampistas,Francesco Totti
2006,Equipo Ideal,Mediocampistas,Patrick Vieira
2006,Equipo Ideal,Mediocampistas,Ze Roberto
2006,Equipo Ideal,Mediocampistas,Zinedine Zidane
2006,Equipo Ideal,Delanteros,Hernan Crespo
2006,Equipo Ideal,Delanteros,Luis Figo
2006,Equipo Ideal,Delanteros,Thierry Henry
2006,Equipo Ideal,Delanteros,Miroslav Klose
2006,Equipo Ideal,Delanteros,Luca Toni
